Gene,P_adj,Fold_Change,Log2_Fold_Change
GNGT2,7.866815415369917e-49,0.07948043,-3.6532564
LMO4,1.746023655423314e-49,0.05386014,-4.214638
PHYHIPL,5.780924878967205e-50,0.071754314,-3.8007905
CABP1,5.071738405040494e-50,0.013021992,-6.262906
MARCKSL1,3.2751343217441183e-50,0.046655186,-4.4218187
OLFM1,1.0505971112758372e-50,0.04674513,-4.41904
SCHIP1,1.4560888006476874e-51,0.008200503,-6.930072
PNMAL2,3.791980379518628e-52,0.05170539,-4.2735415
SLC4A10,3.8807721096040564e-53,0.012199685,-6.3570123
ATP2B1,1.6185147723516048e-53,0.34852275,-1.5206753
TMSB10,1.2099435080168186e-53,0.16987486,-2.5574558
RAB3C,5.1212342484442545e-54,0.008784724,-6.830787
PGM2L1,1.4354917109781137e-54,0.09065766,-3.4634273
TAGLN3,7.41602852903818e-55,0.032280438,-4.953196
PAK3,2.931375236754916e-56,0.024404483,-5.35671
TTYH1,1.7762257813349548e-56,0.35383603,-1.4988471
MAP6,7.824724886101932e-57,0.008458259,-6.8854237
PCP2,6.663265843336555e-57,0.030258026,-5.0465384
CNTN1,4.9658294526995305e-58,0.0039034958,-8.001018
MLLT11,1.3044569878751597e-58,0.03996056,-4.6452794
TCF4,1.3044569878751597e-58,0.1462232,-2.7737558
SOX4,4.467284487736524e-59,0.036987282,-4.756827
MARCKS,4.1150756542378055e-59,0.13409989,-2.8986201
HAP1,4.9344123068431607e-60,0.036704384,-4.767904
RTN1,1.500117682310646e-60,0.17887853,-2.4829478
SLC24A3,2.33296572662549e-64,0.010453236,-6.5799065
GABRB3,7.281317436841333e-66,0.031223178,-5.001239
MAPT,2.2002797851409166e-66,0.018929394,-5.723228
GRM6,1.3849947814872213e-67,0.017466642,-5.839254
HSPA12A,1.3048316681956933e-68,0.05541485,-4.1735835
RIT2,1.5772988910676564e-69,0.018711956,-5.739896
HLF,5.652014603258758e-70,0.055047672,-4.1831746
STMN3,1.1137814119789638e-71,0.059850797,-4.0624857
SAMSN1,3.500208977027891e-75,0.09438225,-3.4053407
